[INFO]: May-17-2022 11:20:29: 	Firebase SDK initialized
[INFO]: May-17-2022 11:20:32: 	Server running on port 4001
[INFO]: May-17-2022 11:20:34: 	Successfully connected to database
[INFO]: Aug-10-2022 16:21:19: 	Server running on port 4001
[INFO]: Aug-10-2022 16:21:50: 	Server running on port 4001
[INFO]: Aug-10-2022 16:22:12: 	Server running on port 4001
[INFO]: Aug-10-2022 16:23:25: 	Server running on port 4001
[INFO]: Aug-10-2022 16:23:52: 	Server running on port 4001
[INFO]: Aug-10-2022 16:25:49: 	Server running on port 4001
[INFO]: Aug-10-2022 16:26:18: 	Server running on port 4001
[INFO]: Aug-10-2022 16:29:00: 	Server running on port 4001
[INFO]: Aug-10-2022 16:29:04: 	Server running on port 4001
[INFO]: Aug-10-2022 16:29:16: 	Server running on port 4001
[INFO]: Aug-10-2022 16:29:16: 	Server running on port 4001
[INFO]: Aug-10-2022 16:30:19: 	Server running on port 4001
[INFO]: Aug-10-2022 16:31:13: 	Server running on port 4001
[INFO]: Aug-10-2022 16:31:26: 	Server running on port 4001
[INFO]: Aug-10-2022 16:32:36: 	Server running on port 4001
[INFO]: Aug-10-2022 16:32:38: 	Server running on port 4001
[INFO]: Aug-10-2022 16:33:47: 	Server running on port 4001
[INFO]: Aug-10-2022 16:33:48: 	Server running on port 4001
[INFO]: Aug-10-2022 16:33:52: 	Server running on port 4001
[INFO]: Aug-10-2022 16:34:23: 	Server running on port 4001
[INFO]: Aug-10-2022 16:39:43: 	Server running on port 4001
[INFO]: Aug-10-2022 16:40:32: 	Server running on port 4001
[INFO]: Aug-10-2022 16:41:15: 	Server running on port 4001
[INFO]: Aug-10-2022 16:43:35: 	Server running on port 4001
[ERROR]: Aug-10-2022 16:43:51: 	Auth header is missing
[INFO]: Aug-10-2022 16:44:25: 	Server running on port 4001
[INFO]: Aug-10-2022 17:00:46: 	Server running on port 4001
[ERROR]: Aug-10-2022 17:03:56: 	Unexpected token } in JSON at position 187
[ERROR]: Aug-10-2022 17:04:01: 	User not found
[INFO]: Aug-10-2022 17:05:29: 	Server running on port 4001
[ERROR]: Aug-10-2022 17:07:45: 	Phone number already exists
[INFO]: Aug-10-2022 17:08:08: 	Server running on port 4001
[ERROR]: Aug-10-2022 17:10:18: 	newUser is not defined
[INFO]: Aug-10-2022 17:10:51: 	Server running on port 4001
[ERROR]: Aug-10-2022 17:11:11: 	Auth header is missing
[ERROR]: Aug-10-2022 17:12:35: 	Auth header is missing
[INFO]: Aug-12-2022 13:19:54: 	Server running on port 4001
[ERROR]: Aug-12-2022 16:25:15: 	User not found
[ERROR]: Aug-12-2022 16:30:05: 	User not found
[INFO]: Aug-12-2022 18:21:54: 	Server running on port 4001
[INFO]: Aug-15-2022 17:27:29: 	Server running on port 4001
[INFO]: Aug-15-2022 17:33:04: 	Server running on port 4001
[INFO]: Aug-15-2022 17:35:08: 	Server running on port 4001
[INFO]: Aug-15-2022 17:35:16: 	Server running on port 4001
[INFO]: Aug-15-2022 17:35:37: 	Server running on port 4001
[INFO]: Aug-15-2022 17:37:33: 	Server running on port 4001
[INFO]: Aug-15-2022 17:38:28: 	Server running on port 4001
[INFO]: Aug-15-2022 17:38:35: 	Server running on port 4001
[INFO]: Aug-15-2022 17:38:44: 	Server running on port 4001
[INFO]: Aug-15-2022 17:40:02: 	Server running on port 4001
[INFO]: Aug-15-2022 17:41:34: 	Server running on port 4001
[INFO]: Aug-15-2022 17:41:46: 	Server running on port 4001
[INFO]: Aug-15-2022 17:41:48: 	Server running on port 4001
[INFO]: Aug-15-2022 17:42:35: 	Server running on port 4001
[INFO]: Aug-15-2022 17:42:43: 	Server running on port 4001
[INFO]: Aug-15-2022 17:48:59: 	Server running on port 4001
[INFO]: Aug-15-2022 17:49:01: 	Server running on port 4001
[INFO]: Aug-15-2022 18:10:13: 	Server running on port 4001
[INFO]: Aug-15-2022 18:11:09: 	Server running on port 4001
[INFO]: Aug-15-2022 18:11:11: 	Server running on port 4001
[INFO]: Aug-15-2022 18:11:52: 	Server running on port 4001
[INFO]: Aug-15-2022 18:11:55: 	Server running on port 4001
[INFO]: Aug-15-2022 18:13:19: 	Server running on port 4001
[INFO]: Aug-15-2022 18:13:35: 	Server running on port 4001
[INFO]: Aug-15-2022 18:13:46: 	Server running on port 4001
[INFO]: Aug-15-2022 18:13:58: 	Server running on port 4001
[INFO]: Aug-15-2022 18:14:46: 	Server running on port 4001
[INFO]: Aug-15-2022 18:14:54: 	Server running on port 4001
[INFO]: Aug-15-2022 18:16:23: 	Server running on port 4001
[INFO]: Aug-15-2022 18:16:38: 	Server running on port 4001
[INFO]: Aug-15-2022 18:16:43: 	Server running on port 4001
[INFO]: Aug-15-2022 18:16:54: 	Server running on port 4001
[ERROR]: Aug-15-2022 18:17:26: 	Auth header is missing
[ERROR]: Aug-15-2022 18:17:37: 	Auth header is missing
[INFO]: Aug-15-2022 18:18:17: 	Server running on port 4001
[INFO]: Aug-15-2022 18:18:21: 	Server running on port 4001
[INFO]: Aug-15-2022 18:18:54: 	Server running on port 4001
[ERROR]: Aug-15-2022 18:18:58: 	Unknown column 'admin_uid' in 'field list'
[INFO]: Aug-15-2022 18:19:47: 	Server running on port 4001
[ERROR]: Aug-15-2022 18:19:50: 	Unknown column 'admin_uid' in 'field list'
[INFO]: Aug-15-2022 18:21:40: 	Server running on port 4001
[INFO]: Aug-15-2022 18:21:44: 	Server running on port 4001
[INFO]: Aug-15-2022 18:28:17: 	Server running on port 4001
[INFO]: Aug-15-2022 18:28:33: 	Server running on port 4001
[INFO]: Aug-15-2022 18:29:12: 	Server running on port 4001
[INFO]: Aug-15-2022 18:29:34: 	Server running on port 4001
[INFO]: Aug-15-2022 18:29:44: 	Server running on port 4001
[INFO]: Aug-15-2022 18:30:48: 	Server running on port 4001
[INFO]: Aug-15-2022 18:30:53: 	Server running on port 4001
[INFO]: Aug-15-2022 18:30:57: 	Server running on port 4001
[INFO]: Aug-15-2022 18:31:07: 	Server running on port 4001
[INFO]: Aug-15-2022 18:31:25: 	Server running on port 4001
[INFO]: Aug-15-2022 18:31:45: 	Server running on port 4001
[INFO]: Aug-15-2022 18:32:26: 	Server running on port 4001
[INFO]: Aug-15-2022 18:32:36: 	Server running on port 4001
[INFO]: Aug-15-2022 18:32:38: 	Server running on port 4001
[INFO]: Aug-15-2022 18:32:57: 	Server running on port 4001
[INFO]: Aug-16-2022 16:57:47: 	Server running on port 4001
[INFO]: Aug-16-2022 17:04:14: 	Server running on port 4001
[INFO]: Aug-16-2022 17:05:33: 	Server running on port 4001
[INFO]: Aug-16-2022 17:06:28: 	Server running on port 4001
[INFO]: Aug-16-2022 17:07:29: 	Server running on port 4001
[INFO]: Aug-16-2022 17:07:39: 	Server running on port 4001
[INFO]: Aug-16-2022 17:07:47: 	Server running on port 4001
[INFO]: Aug-16-2022 17:07:49: 	Server running on port 4001
[INFO]: Aug-16-2022 17:08:06: 	Server running on port 4001
[INFO]: Aug-16-2022 17:08:14: 	Server running on port 4001
[INFO]: Aug-16-2022 17:08:16: 	Server running on port 4001
[INFO]: Aug-16-2022 17:08:47: 	Server running on port 4001
[INFO]: Aug-16-2022 17:08:57: 	Server running on port 4001
[INFO]: Aug-16-2022 17:10:20: 	Server running on port 4001
